month,bigram,frequency
4/2018,I guess,2
5/2018,Donald Trump,10
5/2018,White House,5
5/2018,Michelle Obama,5
5/2018,High School,4
5/2018,I guess,3
5/2018,We need,3
5/2018,right now,3
5/2018,I hope,2
5/2018,I thought,2
5/2018,white people,2
5/2018,The best,2
5/2018,I know,2
5/2018,I believe,2
5/2018,Puerto Rico,2
5/2018,Fox News,2
